name,modifier,head,freq_class
watchman,watch,man,14.0
private investigator,private,investigator,14.0
roast beef,roast,beef,14.0
court order,court,order,14.0
doorman,door,man,14.0
candy bar,candy,bar,14.0
well-being,well,being,14.0
electric chair,electric,chair,14.0
life insurance,life,insurance,14.0
handyman,handy,man,14.0
snowman,snow,man,14.0
car horn,car,horn,14.0
tooth fairy,tooth,fairy,14.0
vineyard,vine,yard,14.0
riverside,river,side,14.0
troublemaker,trouble,maker,14.0
toilet seat,toilet,seat,14.0
lead-in,lead,in,14.0
death wish,death,wish,14.0
full house,full,house,14.0
lowlife,low,life,14.0
wildlife,wild,life,14.0
midterm,mid,term,14.0
boardwalk,board,walk,14.0
underlay,under,lay,14.0
manslaughter,mans,laughter,14.0
love story,love,story,14.0
everlasting,ever,lasting,14.0
whiplash,whip,lash,14.0
good word,good,word,14.0
down payment,down,payment,14.0
attorney general,attorney,general,14.0
beach house,beach,house,14.0
police force,police,force,14.0
manslaughter,man,slaughter,14.0
checkbook,check,book,14.0
gangway,gang,way,14.0
jukebox,juke,box,14.0
air raid,air,raid,14.0
brain damage,brain,damage,14.0
remote control,remote,control,14.0
control room,control,room,14.0
headline,head,line,14.0
opening night,opening,night,14.0
home run,home,run,14.0
pipeline,pipe,line,14.0
eyesight,eye,sight,14.0
spotlight,spot,light,14.0
fire escape,fire,escape,14.0
newborn,new,born,14.0
heartbreak,heart,break,14.0
babysitting,baby,sitting,14.0
middle name,middle,name,14.0
good story,good,story,14.0
chickenshit,chickens,hit,14.0
low profile,low,profile,14.0
starship,stars,hip,14.0
bowling alley,bowling,alley,14.0
slipstream,slip,stream,14.0
overweight,over,weight,14.0
cold water,cold,water,14.0
letdown,let,down,14.0
soap opera,soap,opera,14.0
understudy,under,study,14.0
takedown,take,down,14.0
giveaway,give,away,14.0
gateway,gate,way,14.0
courtyard,court,yard,14.0
roadblock,road,block,14.0
meltdown,melt,down,14.0
feedback,feed,back,14.0
swimsuit,swim,suit,14.0
lockdown,lock,down,14.0
cutback,cut,back,14.0
dumbass,dumb,ass,14.0
stairwell,stair,well,14.0
soul mate,soul,mate,14.0
waterfall,water,fall,14.0
nightfall,night,fall,14.0
death row,death,row,14.0
good health,good,health,14.0
blood type,blood,type,14.0
station wagon,station,wagon,14.0
backseat,backs,eat,14.0
ginger ale,ginger,ale,14.0
screwdriver,screw,driver,14.0
cabdriver,cab,driver,14.0
wholesale,wholes,ale,14.0
hairdresser,hair,dresser,14.0
tagalong,tag,along,14.0
pineapple,pine,apple,14.0
bloodstream,blood,stream,14.0
horseback,horse,back,14.0
royal family,royal,family,14.0
airway,air,way,14.0
one-half,one,half,14.0
softball,soft,ball,14.0
caretaker,care,taker,14.0
poor boy,poor,boy,14.0
motel room,motel,room,14.0
last word,last,word,14.0
stairway,stair,way,14.0
deadbeat,dead,beat,14.0
trailer park,trailer,park,14.0
good fortune,good,fortune,14.0
broadcasting,broad,casting,14.0
iceberg,ice,berg,14.0
blueberry,blue,berry,14.0
staircase,stair,case,14.0
two dozen,two,dozen,14.0
raincoat,rain,coat,14.0
hillbilly,hill,billy,14.0
daycare,day,care,14.0
meatball,meat,ball,14.0
payday,pay,day,14.0
granddaddy,grand,daddy,14.0
human body,human,body,14.0
granddad,grand,dad,14.0
rock music,rock,music,14.0
handbag,hand,bag,14.0
warfare,war,fare,14.0
buttercup,butter,cup,14.0
scarecrow,scare,crow,14.0
spacecraft,space,craft,14.0
witchcraft,witch,craft,14.0
eyeball,eye,ball,14.0
straight line,straight,line,14.0
midway,mid,way,14.0
ex-boyfriend,ex,boyfriend,14.0
seaweed,sea,weed,14.0
horseshit,horses,hit,14.0
red wine,red,wine,14.0
little league,little,league,14.0
apple pie,apple,pie,14.0
keyboard,key,board,14.0
handshake,hands,hake,14.0
ten percent,ten,percent,14.0
poker game,poker,game,14.0
lifeguard,life,guard,14.0
private property,private,property,14.0
livestock,live,stock,14.0
plastic surgery,plastic,surgery,14.0
dinner party,dinner,party,14.0
maiden name,maiden,name,14.0
nightgown,night,gown,14.0
west side,west,side,14.0
south side,south,side,14.0
dishwasher,dish,washer,14.0
twenty-six,twenty,six,14.0
schoolgirl,school,girl,14.0
grand jury,grand,jury,14.0
fruitcake,fruit,cake,14.0
battleship,battles,hip,14.0
department store,department,store,14.0
tow truck,tow,truck,14.0
downhill,down,hill,14.0
club soda,club,soda,14.0
nursing home,nursing,home,14.0
cardboard,card,board,14.0
public relations,public,relations,14.0
safe-deposit,safe,deposit,14.0
cheesecake,cheese,cake,14.0
pot roast,pot,roast,14.0
deposit box,deposit,box,14.0
skateboard,skate,board,14.0
football player,football,player,14.0
game show,game,show,14.0
goodwill,good,will,14.0
drug addict,drug,addict,14.0
tombstone,tomb,stone,14.0
