compound,modifier,head,frequency_class
Abschiedsspiel,Abschied,Spiel,18.0
Abschiedsstimmung,Abschied,Stimmung,
Abschiedsszene,Abschied,Szene,18.0
Abschiedstour,Abschied,Tour,18.0
Abschiedstournee,Abschied,Tournee,19.0
Abschiedsträne,Abschied,Träne,
Abschiedsveranstaltung,Abschied,Veranstaltung,19.0
Abschiedsvorlesung,Abschied,Vorlesung,18.0
Abschiedsvorstellung,Abschied,Vorstellung,
Abschiedswort,Abschied,Wort,
Abschiedszeremonie,Abschied,Zeremonie,
Abschirmdienst,abschirmen,Dienst,18.0
Abschlagssumme,Abschlag,Summe,
Abschlagszahlung,Abschlag,Zahlung,16.0
Abschleppdienst,abschleppen,Dienst,19.0
Abschleppfahrzeug,abschleppen,Fahrzeug,
Abschleppfirma,abschleppen,Firma,
Abschlepphaken,abschleppen,Haken,
Abschleppkosten,abschleppen,Kosten,18.0
Abschleppseil,abschleppen,Seil,19.0
Abschleppunternehmen,abschleppen,Unternehmen,18.0
Abschleppwagen,abschleppen,Wagen,19.0
Abschlussabend,Abschluss,Abend,16.0
Abschlussansprache,Abschluss,Ansprache,
Abschlussarbeit,Abschluss,Arbeit,12.0
Abschlussausstellung,Abschluss,Ausstellung,18.0
Abschlussball,Abschluss,Ball,17.0
Abschlussbericht,Abschluss,Bericht,13.0
Abschlussbesprechung,Abschluss,Besprechung,19.0
Abschlussbilanz,Abschluss,Bilanz,
Abschlussbild,Abschluss,Bild,
Abschlussbuchung,Abschluss,Buchung,
Abschlussdatum,Abschluss,Datum,18.0
Abschlussdiplom,Abschluss,Diplom,19.0
Abschlussdiskussion,Abschluss,Diskussion,16.0
Abschlussdokument,Abschluss,Dokument,18.0
Abschlusserklärung,Abschluss,Erklärung,19.0
Abschlussessen,Abschluss,Essen,
Abschlussexamen,Abschluss,Examen,
Abschlussfahrt,Abschluss,Fahrt,18.0
Abschlussfeier,Abschluss,Feier,15.0
Abschlussfest,Abschluss,Fest,19.0
Abschlussfeuerwerk,Abschluss,Feuerwerk,
Abschlussfilm,Abschluss,Film,
Abschlussformel,Abschluss,Formel,
Abschlussgala,Abschluss,Gala,19.0
Abschlussgebühr,Abschluss,Gebühr,18.0
Abschlussgespräch,Abschluss,Gespräch,17.0
Abschlussgottesdienst,Abschluss,Gottesdienst,
Abschlussjahr,Abschluss,Jahr,17.0
Abschlussjahrgang,Abschluss,Jahrgang,16.0
Abschlussklasse,Abschluss,Klasse,16.0
Abschlusskonferenz,Abschluss,Konferenz,16.0
Abschlusskonzert,Abschluss,Konzert,15.0
Abschlusskosten,Abschluss,Kosten,
Abschlusskundgebung,Abschluss,Kundgebung,19.0
Abschlussnote,Abschluss,Note,14.0
Abschlusspapier,Abschluss,Papier,
Abschlussparty,Abschluss,Party,17.0
Abschlussphase,Abschluss,Phase,16.0
Abschlussplenum,Abschluss,Plenum,
Abschlussplädoyer,Abschluss,Plädoyer,
Abschlusspressekonferenz,Abschluss,Pressekonferenz,19.0
Abschlussprovision,Abschluss,Provision,
Abschlussprämie,Abschluss,Prämie,19.0
Abschlusspräsentation,Abschluss,Präsentation,16.0
Abschlussprüfer,Abschluss,Prüfer,16.0
Abschlussprüfung,Abschluss,Prüfung,11.0
Abschlussrechnung,Abschluss,Rechnung,19.0
Abschlussrede,Abschluss,Rede,17.0
Abschlussrennen,Abschluss,Rennen,
Abschlusssitzung,Abschluss,Sitzung,17.0
Abschlussspiel,Abschluss,Spiel,
Abschlusstabelle,Abschluss,Tabelle,19.0
Abschlusstag,Abschluss,Tag,17.0
Abschlusstagung,Abschluss,Tagung,17.0
Abschlusstest,Abschluss,Test,19.0
Abschlusstraining,Abschluss,Training,16.0
Abschlussturnier,Abschluss,Turnier,
Abschlussveranstaltung,Abschluss,Veranstaltung,13.0
Abschlussvorstellung,Abschluss,Vorstellung,19.0
Abschlussvortrag,Abschluss,Vortrag,
Abschlusswiderstand,Abschluss,Widerstand,
Abschlusswochenende,Abschluss,Wochenende,
Abschlusszahlen,Abschluss,Zahlen,
Abschlusszahlung,Abschluss,Zahlung,18.0
Abschlusszeremonie,Abschluss,Zeremonie,
Abschlusszertifikat,Abschluss,Zertifikat,17.0
