compound,modifier,head,frequency_class
Schulreife,Schule,Reife,18.0
Schulrektor,Schule,Rektor,
Schulsaal,Schule,Saal,18.0
Schulsachen,Schule,Sachen,16.0
Schulsanierung,Schule,Sanierung,19.0
Schulsanitätsdienst,Schule,Sanitätsdienst,14.0
Schulschachmeisterschaft,Schule,Schachmeisterschaft,
Schulschiff,Schule,Schiff,
Schulschließung,Schule,Schließung,13.0
Schulschluss,Schule,Schluss,15.0
Schulschwester,Schule,Schwester,
Schulschwierigkeit,Schule,Schwierigkeit,
Schulschwimmen,Schule,Schwimmen,17.0
Schulschwänzer,Schule,Schwänzer,
Schulsekretariat,Schule,Sekretariat,15.0
Schulsekretär,Schule,Sekretär,
Schulsenator,Schule,Senator,17.0
Schulserver,Schule,Server,16.0
Schulsituation,Schule,Situation,19.0
Schulsozialarbeit,Schule,Sozialarbeit,12.0
Schulsozialarbeiter,Schule,Sozialarbeiter,14.0
Schulspeisung,Schule,Speisung,19.0
Schulsport,Schule,Sport,13.0
Schulsportanlage,Schulsport,Anlage,
Schulsporthalle,Schulsport,Halle,17.0
Schulsportplatz,Schule,Sportplatz,19.0
Schulsprache,Schule,Sprache,19.0
Schulsprecher,Schule,Sprecher,17.0
Schulsprengel,Schule,Sprengel,
Schulstadt,Schule,Stadt,18.0
Schulstandort,Schule,Standort,14.0
Schulstart,Schule,Start,13.0
Schulstatistik,Schule,Statistik,15.0
Schulsternwarte,Schule,Sternwarte,19.0
Schulstiftung,Schule,Stiftung,12.0
Schulstoff,Schule,Stoff,15.0
Schulstraße,Schule,Straße,16.0
Schulstreik,Schule,Streik,18.0
Schulstress,Schule,Stress,17.0
Schulstruktur,Schule,Struktur,16.0
Schulstube,Schule,Stube,19.0
Schulstufe,Schule,Stufe,17.0
Schulstunde,Schule,Stunde,14.0
Schulsystem,Schule,System,13.0
Schultafel,Schule,Tafel,19.0
Schultag,Schule,Tag,12.0
Schultasche,Schule,Tasche,15.0
Schulteam,Schule,Team,15.0
Schulteich,Schule,Teich,19.0
Schulterband,Schulter,Band,
Schulterbereich,Schulter,Bereich,14.0
Schulterbeschwerden,Schulter,Beschwerden,19.0
Schulterblatt,Schulter,Blatt,
Schulterbreite,Schulter,Breite,18.0
Schulterbrücke,Schulter,Brücke,
Schultereckgelenk,Schulterecke,Gelenk,19.0
Schultergelenk,Schulter,Gelenk,17.0
Schultergurt,Schulter,Gurt,19.0
Schultergürtel,Schulter,Gürtel,19.0
Schulterhöhe,Schulter,Höhe,16.0
Schulterklappe,Schulter,Klappe,19.0
Schulterklopfen,Schulter,Klopfen,19.0
Schulterknochen,Schulter,Knochen,
Schulterluxation,Schulter,Luxation,
Schultermuskel,Schulter,Muskel,
Schulterniederlage,Schulter,Niederlage,
Schulteroperation,Schulter,Operation,
Schulterpanzer,Schulter,Panzer,
Schulterpartie,Schulter,Partie,17.0
Schulterpasse,Schulter,Passe,
Schulterpolster,Schulter,Polster,19.0
Schulterprellung,Schulter,Prellung,
Schulterproblem,Schulter,Problem,
Schulterriemen,Schulter,Riemen,19.0
Schulterschluss,Schulter,Schluss,14.0
Schulterschmerz,Schulter,Schmerz,
Schultersieg,Schulter,Sieg,
Schulterstand,Schulter,Stand,19.0
Schulterstück,Schulter,Stück,
Schulterstütze,Schulter,Stütze,
Schultertasche,Schulter,Tasche,
Schultertuch,Schulter,Tuch,
Schulterverletzung,Schulter,Verletzung,
Schulterwurf,Schulter,Wurf,
Schulterzucken,Schulter,Zucken,19.0
Schultheater,Schule,Theater,14.0
Schultheißenamt,Schultheiß,Amt,
Schulthema,Schule,Thema,
Schultisch,Schule,Tisch,
Schultoilette,Schule,Toilette,
Schultor,Schule,Tor,19.0
Schultradition,Schule,Tradition,
Schulträger,Schule,Träger,11.0
Schulträgerschaft,Schule,Trägerschaft,19.0
Schulturnhalle,Schule,Turnhalle,
Schultyp,Schule,Typ,16.0
Schultür,Schule,Tür,17.0
Schultüte,Schule,Tüte,16.0
Schuluhr,Schule,Uhr,19.0
Schulungsangebot,Schulung,Angebot,16.0
Schulungsarbeit,Schulung,Arbeit,
Schulungsaufwand,Schulung,Aufwand,
Schulungseinrichtung,Schulung,Einrichtung,
Schulungsfilm,Schulung,Film,19.0
Schulungsgebäude,Schulung,Gebäude,
Schulungskosten,Schulung,Kosten,
Schulungskurs,Schulung,Kurs,17.0
Schulungsleiter,Schulung,Leiter,
Schulungsmaterial,Schulung,Material,16.0
Schulungsmaßnahme,Schulung,Maßnahme,17.0
Schulungsprogramm,Schulung,Programm,17.0
Schulungsraum,Schulung,Raum,17.0
Schulungsstätte,Schulung,Stätte,19.0
Schulungsteilnehmer,Schulung,Teilnehmer,19.0
Schulungsunterlagen,Schulung,Unterlagen,15.0
Schulungsveranstaltung,Schulung,Veranstaltung,18.0
Schulungszentrum,Schulung,Zentrum,15.0
Schuluniform,Schule,Uniform,16.0
Schulunterricht,Schule,Unterricht,12.0
Schulutensil,Schule,Utensil,
Schulveranstaltung,Schule,Veranstaltung,15.0
Schulverband,Schule,Verband,17.0
Schulverbund,Schule,Verbund,16.0
Schulverein,Schule,Verein,14.0
Schulverfassung,Schule,Verfassung,18.0
Schulverpflegung,Schule,Verpflegung,13.0
Schulversagen,Schule,Versagen,18.0
Schulversager,Schule,Versager,
Schulversammlung,Schule,Versammlung,16.0
Schulversuch,Schule,Versuch,14.0
Schulvertreter,Schule,Vertreter,17.0
Schulverwaltung,Schule,Verwaltung,14.0
Schulverwaltungsamt,Schulverwaltung,Amt,
Schulverweigerer,Schule,Verweigerer,
Schulverweigerung,Schule,Verweigerung,16.0
Schulverweis,Schule,Verweis,
Schulvorstand,Schule,Vorstand,17.0
Schulvorstellung,Schule,Vorstellung,
Schulwahl,Schule,Wahl,15.0
Schulwechsel,Schule,Wechsel,14.0
Schulweg,Schule,Weg,13.0
Schulweghelfer,Schulweg,Helfer,18.0
Schulwegplan,Schulweg,Plan,17.0
Schulwegsicherung,Schulweg,Sicherung,18.0
Schulweisheit,Schule,Weisheit,
Schulwelt,Schule,Welt,
Schulwesen,Schule,wesen,14.0
Schulwettbewerb,Schule,Wettbewerb,15.0
Schulwirklichkeit,Schule,Wirklichkeit,18.0
Schulwissen,Schule,Wissen,17.0
Schulwoche,Schule,Woche,14.0
Schulzahnarzt,Schule,Zahnarzt,
Schulzeit,Schule,Zeit,11.0
Schulzeitung,Schule,Zeitung,17.0
Schulzeitverkürzung,Schulzeit,Verkürzung,17.0
Schulzenamt,Schulze,Amt,
Schulzensur,Schule,Zensur,
Schulzentrum,Schule,Zentrum,13.0
Schulzeugnis,Schule,Zeugnis,16.0
Schulzimmer,Schule,Zimmer,18.0
Schulzwang,Schule,Zwang,
Schulzweck,Schule,Zweck,
Schulzweig,Schule,Zweig,18.0
Schundliteratur,Schund,Literatur,
Schundroman,Schund,Roman,
Schupfnudel,schupfen,Nudel,
Schuppenblatt,Schuppe,Blatt,
Schuppenflechte,Schuppen,Flechte,16.0
Schuppenkriechtier,Schuppe,Kriechtier,
Schuppenmiere,Schuppe,Miere,
Schuppenpanzer,Schuppe,Panzer,
Schuppensimse,Schuppe,Simse,
Schuppentier,Schuppe,Tier,19.0
Schuppenwurz,Schuppe,Wurz,
Schurkenregime,Schurke,Regime,
Schurkenrolle,Schurke,Rolle,
Schurkenstaat,Schurke,Staat,
Schurwolle,Schur,Wolle,17.0
Schussabgabe,Schuss,Abgabe,
Schussbahn,Schuss,Bahn,19.0
Schussfaden,Schuss,Faden,
Schussfahrt,Schuss,Fahrt,
Schussfeld,Schuss,Feld,
Schussfolge,Schuss,Folge,
Schussfrequenz,Schuss,Frequenz,
Schussglück,Schuss,Glück,
Schusskraft,Schuss,Kraft,19.0
Schusskreis,Schuss,Kreis,
Schusslinie,Schuss,Linie,17.0
Schussposition,Schuss,Position,
Schussrichtung,Schuss,Richtung,
Schussstärke,Schuss,Stärke,
Schusstechnik,Schuss,Technik,
Schussverletzung,Schuss,Verletzung,19.0
Schusswaffe,Schuss,Waffe,16.0
Schusswaffeneinsatz,Schusswaffe,Einsatz,19.0
Schusswaffengebrauch,Schusswaffe,Gebrauch,17.0
Schusswechsel,Schuss,Wechsel,
Schussweite,Schuss,Weite,
Schusswinkel,Schuss,Winkel,
Schusswunde,Schuss,Wunde,19.0
Schusszahl,Schuss,Zahl,
Schusterhandwerk,Schuster,Handwerk,
Schusterjunge,Schuster,Junge,
Schusterlehrling,Schuster,Lehrling,
Schusterwerkstatt,Schuster,Werkstatt,18.0
Schuttabladeplatz,Schutt,Abladeplatz,
Schuttablagerung,Schutt,Ablagerung,
Schuttberg,Schutt,Berg,
Schuttbewegung,Schutt,Bewegung,
Schutthalde,Schutt,Halde,
Schutthaufen,Schutt,Haufen,
Schutthügel,Schutt,Hügel,19.0
Schuttkegel,Schutt,Kegel,
Schuttkresse,Schutt,Kresse,
Schuttlawine,Schutt,Lawine,
Schuttplatz,Schutt,Platz,
Schutzalter,Schutz,Alter,
Schutzanlage,Schutz,Anlage,
Schutzanstrich,Schutz,Anstrich,
Schutzanzug,Schutz,Anzug,17.0
Schutzaufgabe,Schutz,Aufgabe,
Schutzauftrag,Schutz,Auftrag,17.0
Schutzausrüstung,Schutz,Ausrüstung,13.0
Schutzbarriere,Schutz,Barriere,
Schutzbau,Schutz,Bau,
Schutzbedarf,Schutz,Bedarf,17.0
Schutzbedeckung,Schutz,Bedeckung,
Schutzbedürfnis,Schutz,Bedürfnis,17.0
Schutzbehauptung,Schutz,Behauptung,
Schutzbekleidung,Schutz,Bekleidung,16.0
Schutzbemühung,Schutz,Bemühung,
Schutzbereich,Schutz,Bereich,16.0
Schutzbestimmung,Schutz,Bestimmung,
Schutzblech,Schutz,Blech,19.0
Schutzbrief,Schutz,Brief,16.0
Schutzbrille,Schutz,Brille,16.0
Schutzbund,Schutz,Bund,
Schutzbunker,Schutz,Bunker,19.0
Schutzburg,Schutz,Burg,
Schutzbündnis,Schutz,Bündnis,
Schutzdach,Schutz,Dach,
Schutzdamm,Schutz,Damm,
Schutzdauer,Schutz,Dauer,18.0
Schutzdeckel,Schutz,Deckel,
Schutzdeich,Schutz,Deich,
Schutzeinrichtung,Schutz,Einrichtung,
Schutzengel,Schutz,Engel,16.0
Schutzfaktor,Schutz,Faktor,17.0
Schutzfilm,Schutz,Film,17.0
Schutzfilter,Schutz,Filter,
Schutzfläche,Schutz,Fläche,19.0
Schutzfolie,Schutz,Folie,17.0
Schutzfrau,Schutz,Frau,
Schutzfrist,Schutz,Frist,15.0
Schutzfunktion,Schutz,Funktion,15.0
Schutzgas,Schutz,Gas,
Schutzgebiet,Schutz,Gebiet,15.0
Schutzgebühr,Schutz,Gebühr,15.0
Schutzgedanke,Schutz,Gedanke,19.0
Schutzgeist,Schutz,Geist,
Schutzgeld,Schutz,Geld,
Schutzgelderpresser,Schutzgeld,Erpresser,19.0
Schutzgelderpressung,Schutzgeld,Erpressung,17.0
Schutzgeländer,Schutz,Geländer,
Schutzgemeinschaft,Schutz,Gemeinschaft,16.0
Schutzgesetz,Schutz,Gesetz,
Schutzgewährung,Schutz,Gewährung,
Schutzgitter,Schutz,Gitter,17.0
Schutzglas,Schutz,Glas,
Schutzgott,Schutz,Gott,
Schutzgottheit,Schutz,Gottheit,
Schutzgründe,Schutz,Gründe,19.0
Schutzgut,Schutz,Gut,16.0
Schutzgürtel,Schutz,Gürtel,
Schutzhafen,Schutz,Hafen,
Schutzhaft,Schutz,Haft,
Schutzhaftlager,Schutzhaft,Lager,
Schutzhandschuh,Schutz,Handschuh,
Schutzhaus,Schutz,Haus,18.0
Schutzheilige,Schutz,Heilige,19.0
Schutzheiliger,Schutz,Heiliger,
Schutzhelm,Schutz,Helm,18.0
Schutzherr,Schutz,Herr,19.0
Schutzherrschaft,Schutz,Herrschaft,
Schutzhund,Schutz,Hund,
Schutzhülle,Schutz,Hülle,15.0
Schutzhütte,Schutz,Hütte,17.0
Schutzimpfung,Schutz,Impfung,13.0
Schutzinteresse,Schutz,Interesse,19.0
Schutzjacke,Schutz,Jacke,
Schutzkabine,Schutz,Kabine,
Schutzkappe,Schutz,Kappe,17.0
Schutzkategorie,Schutz,Kategorie,19.0
Schutzkittel,Schutz,Kittel,17.0
Schutzklasse,Schutz,Klasse,17.0
Schutzklausel,Schutz,Klausel,19.0
Schutzkleidung,Schutz,Kleidung,13.0
Schutzkommission,Schutz,Kommission,
Schutzkontakt,Schutz,Kontakt,
Schutzkontaktstecker,Schutzkontakt,Stecker,
Schutzkonzept,Schutz,Konzept,15.0
Schutzlack,Schutz,Lack,19.0
Schutzleiter,Schutz,Leiter,
Schutzmacht,Schutz,Macht,19.0
Schutzmann,Schutz,Mann,19.0
Schutzmantel,Schutz,Mantel,17.0
Schutzmantelmadonna,Schutzmantel,Madonna,
Schutzmarke,Schutz,Marke,
Schutzmaske,Schutz,Maske,15.0
Schutzmauer,Schutz,Mauer,19.0
Schutzmaßnahme,Schutz,Maßnahme,14.0
Schutzmechanismus,Schutz,Mechanismus,17.0
Schutzmittel,Schutz,Mittel,18.0
Schutzmöglichkeit,Schutz,Möglichkeit,
Schutzniveau,Schutz,Niveau,14.0
Schutzpanzer,Schutz,Panzer,
Schutzpatron,Schutz,Patron,18.0
Schutzpatrouille,Schutz,Patrouille,
Schutzperson,Schutz,Person,
Schutzpflicht,Schutz,Pflicht,17.0
Schutzplan,Schutz,Plan,
Schutzplanke,Schutz,Planke,19.0
Schutzplatte,Schutz,Platte,
Schutzpolizei,Schutz,Polizei,16.0
Schutzpolizist,Schutz,Polizist,
Schutzprogramm,Schutz,Programm,17.0
Schutzprojekt,Schutz,Projekt,19.0
Schutzraum,Schutz,Raum,15.0
Schutzreaktion,Schutz,Reaktion,
Schutzrecht,Schutz,Recht,17.0
Schutzreflex,Schutz,Reflex,19.0
Schutzregelung,Schutz,Regelung,
Schutzschalter,Schutz,Schalter,
Schutzschicht,Schutz,Schicht,17.0
Schutzschild,Schutz,Schild,15.0
Schutzschirm,Schutz,Schirm,14.0
Schutzschrift,Schutz,Schrift,19.0
Schutzsperre,Schutz,Sperre,
Schutzstaffel,Schutz,Staffel,
Schutzstandard,Schutz,Standard,
Schutzstation,Schutz,Station,
Schutzstatus,Schutz,Status,15.0
Schutzstreifen,Schutz,Streifen,16.0
Schutzsystem,Schutz,System,18.0
Schutztruppe,Schutz,Truppe,19.0
Schutzumschlag,Schutz,Umschlag,17.0
Schutzverband,Schutz,Verband,
Schutzverhalten,Schutz,Verhalten,
Schutzverordnung,Schutz,Verordnung,19.0
Schutzvertrag,Schutz,Vertrag,
Schutzvorkehrung,Schutz,Vorkehrung,
Schutzvorrichtung,Schutz,Vorrichtung,19.0
Schutzvorschrift,Schutz,Vorschrift,
Schutzwaffe,Schutz,Waffe,
Schutzwald,Schutz,Wald,
Schutzwall,Schutz,Wall,16.0
Schutzwand,Schutz,Wand,17.0
Schutzweiche,Schutz,Weiche,
Schutzweste,Schutz,Weste,19.0
Schutzwirkung,Schutz,Wirkung,14.0
Schutzzaun,Schutz,Zaun,18.0
Schutzzeichen,Schutz,Zeichen,18.0
Schutzziel,Schutz,Ziel,16.0
Schutzzoll,Schutz,Zoll,
Schutzzollpolitik,Schutzzoll,Politik,
Schutzzone,Schutz,Zone,16.0
Schutzzweck,Schutz,Zweck,15.0
Schwabenalter,Schwabe,Alter,
Schwabenbräu,Schwaben,Bräu,
Schwabenland,Schwaben,Land,18.0
Schwabenspiegel,Schwaben,Spiegel,
Schwabenstreich,Schwabe,Streich,
Schwachkopf,schwach,Kopf,
Schwachpunkt,schwach,Punkt,16.0
Schwachstelle,schwach,Stelle,14.0
Schwachstellenanalyse,Schwachstelle,Analyse,19.0
Schwachstrom,schwach,Strom,
Schwachstromanlage,Schwachstrom,Anlage,
Schwachstromtechnik,Schwachstrom,Technik,
Schwachverkehrszeit,schwach,Verkehrszeit,
Schwalbenlausfliege,Schwalbe,Lausfliege,
Schwalbennest,Schwalbe,Nest,17.0
Schwalbenschwanz,Schwalbe,Schwanz,18.0
Schwalbenwurz,Schwalbe,Wurz,
Schwammspinner,Schwamm,Spinner,
Schwammtuch,Schwamm,Tuch,19.0
Schwanenblume,Schwan,Blume,
Schwanengesang,Schwan,Gesang,18.0
Schwanenhals,Schwan,Hals,
Schwanenteich,Schwan,Teich,18.0
Schwangerenberatung,Schwangere,Beratung,17.0
Schwangerenberatungsstelle,Schwangere,Beratungsstelle,19.0
Schwangerenkonfliktberatung,Schwangere,Konfliktberatung,
Schwangerenvorsorge,Schwangere,Vorsorge,17.0
Schwangerschaftsabbruch,Schwangerschaft,Abbruch,13.0
Schwangerschaftsberatung,Schwangerschaft,Beratung,15.0
Schwangerschaftsberatungsstelle,Schwangerschaftsberatung,Stelle,16.0
Schwangerschaftsbeschwerden,Schwangerschaft,Beschwerden,17.0
Schwangerschaftsdrittel,Schwangerschaft,Drittel,16.0
Schwangerschaftsgymnastik,Schwangerschaft,Gymnastik,19.0
Schwangerschaftshormon,Schwangerschaft,Hormon,18.0
Schwangerschaftskomplikation,Schwangerschaft,Komplikation,
Schwangerschaftskonflikt,Schwangerschaft,Konflikt,16.0
Schwangerschaftskonfliktberatung,Schwangerschaft,Konfliktberatung,15.0
Schwangerschaftsmonat,Schwangerschaft,Monat,17.0
Schwangerschaftsstreifen,Schwangerschaft,Streifen,19.0
Schwangerschaftstest,Schwangerschaft,Test,15.0
Schwangerschaftsunterbrechung,Schwangerschaft,Unterbrechung,
Schwangerschaftsverhütung,Schwangerschaft,Verhütung,18.0
Schwangerschaftsverlauf,Schwangerschaft,Verlauf,17.0
Schwangerschaftsvertretung,Schwangerschaft,Vertretung,19.0
Schwangerschaftsvorsorge,Schwangerschaft,Vorsorge,16.0
Schwangerschaftswoche,Schwangerschaft,Woche,14.0
Schwankungsbereich,Schwankung,Bereich,
Schwankungsbreite,Schwankung,Breite,17.0
Schwanzansatz,Schwanz,Ansatz,
Schwanzende,Schwanz,Ende,19.0
Schwanzfeder,Schwanz,Feder,
Schwanzflosse,Schwanz,Flosse,17.0
Schwanzgefieder,Schwanz,Gefieder,
Schwanzlurch,Schwanz,Lurch,
Schwanzlänge,Schwanz,Länge,18.0
Schwanzmeise,Schwanz,Meise,
Schwanzschlag,Schwanz,Schlag,
Schwanzspitze,Schwanz,Spitze,18.0
Schwanzstern,Schwanz,Stern,
Schwanzstiel,Schwanz,Stiel,
Schwanzwirbel,Schwanz,Wirbel,
Schwanzwurzel,Schwanz,Wurzel,
Schwarmfisch,Schwarm,Fisch,
Schwarmintelligenz,Schwarm,Intelligenz,18.0
Schwarmverhalten,Schwarm,Verhalten,
Schwartenmagen,Schwarte,Magen,
Schwarzafrika,schwarz,Afrika,
Schwarzarbeit,schwarz,Arbeit,15.0
Schwarzarbeiter,schwarz,Arbeiter,19.0
Schwarzauge,schwarz,Auge,
Schwarzbarsch,schwarz,Barsch,
Schwarzbau,schwarz,Bau,19.0
Schwarzbeere,schwarz,Beere,
Schwarzbier,schwarz,Bier,19.0
Schwarzblende,schwarz,Blende,
Schwarzbrenner,schwarz,Brenner,19.0
Schwarzbrennerei,schwarz,Brennerei,
Schwarzbrot,schwarz,Brot,19.0
Schwarzbuch,schwarz,Buch,
Schwarzbär,schwarz,Bär,
Schwarzdorn,schwarz,Dorn,
Schwarzdrossel,schwarz,Drossel,
Schwarzengetto,Schwarze,Getto,
Schwarzenviertel,Schwarze,Viertel,
Schwarzerde,schwarz,Erde,
Schwarzerle,schwarz,Erle,16.0
Schwarzfuß,schwarz,Fuß,
Schwarzfärbung,schwarz,Färbung,
Schwarzföhre,schwarz,Föhre,
Schwarzgeld,schwarz,Geld,
Schwarzhandel,schwarz,Handel,
Schwarzhemden,schwarz,Hemden,
Schwarzhändler,schwarz,Händler,
Schwarzkehlchen,schwarz,Kehlchen,
Schwarzkiefer,schwarz,Kiefer,
Schwarzkonto,schwarz,Konto,
Schwarzkäfer,schwarz,Käfer,19.0
Schwarzlicht,schwarz,Licht,18.0
Schwarzmagier,schwarz,Magier,
Schwarzmarkt,schwarz,Markt,16.0
Schwarzmarkthandel,Schwarzmarkt,Handel,
Schwarzmarkthändler,Schwarzmarkt,Händler,
Schwarzmarktpreis,Schwarzmarkt,Preis,
Schwarzmarktwert,Schwarzmarkt,Wert,
Schwarzmeer,schwarz,Meer,
Schwarzmeerhalbinsel,Schwarzmeer,Halbinsel,
Schwarzmilan,schwarz,Milan,
Schwarznessel,schwarz,Nessel,
Schwarzpappel,schwarz,Pappel,
Schwarzpulver,schwarz,Pulver,
Schwarzriesling,schwarz,Riesling,19.0
Schwarzsender,schwarz,Sender,
Schwarzspecht,schwarz,Specht,18.0
Schwarzstorch,schwarz,Storch,17.0
Schwarztee,schwarz,Tee,
Schwarzton,Schwarz,Ton,
Schwarztorf,schwarz,Torf,
Schwarzwaldbahn,Schwarzwald,Bahn,19.0
Schwarzwalddorf,Schwarzwald,Dorf,
Schwarzwaldhaus,Schwarzwald,Haus,
Schwarzwalduhr,Schwarzwald,Uhr,
Schwarzwasser,schwarz,Wasser,17.0
Schwarzweide,schwarz,Weide,
Schwarzweiß,Schwarz,Weiß,16.0
Schwarzwild,schwarz,Wild,15.0
Schwarzwurst,schwarz,Wurst,19.0
Schwarzwurz,schwarz,Wurz,
Schwarzwurzel,schwarz,Wurzel,19.0
Schwebebahn,schweben,Bahn,16.0
Schwebebalken,schweben,Balken,19.0
Schwebeflug,schweben,Flug,
Schwebefähre,schweben,Fähre,
Schwebeteilchen,schweben,Teilchen,19.0
Schwebezustand,schweben,Zustand,16.0
Schwebfliege,schweben,Fliege,19.0
Schwebstoff,schweben,Stoff,
Schwebstoffe,schweben,Stoffe,17.0
Schwedenbombe,Schweden,Bombe,
Schwedenkönig,Schweden,König,18.0
Schwedenmilch,Schweden,Milch,
Schwedischkurs,Schwedisch,Kurs,17.0
Schwefelanemone,Schwefel,Anemone,
Schwefelbad,Schwefel,Bad,19.0
Schwefelbakterie,Schwefel,Bakterie,
Schwefeldioxid,Schwefel,Dioxid,17.0
Schwefelgehalt,Schwefel,Gehalt,
Schwefelgeruch,Schwefel,Geruch,
Schwefelholz,Schwefel,Holz,
Schwefelkies,Schwefel,Kies,
Schwefelkohlenstoff,Schwefel,Kohlenstoff,
Schwefelkopf,Schwefel,Kopf,19.0
Schwefelkäfer,Schwefel,Käfer,
Schwefeloxid,Schwefel,Oxid,
Schwefelquelle,Schwefel,Quelle,
Schwefelsäure,Schwefel,Säure,19.0
Schwefelsäurefabrik,Schwefelsäure,Fabrik,
Schwefelverbindung,Schwefel,Verbindung,
Schwefelwasser,Schwefel,Wasser,19.0
Schwefelwasserstoff,Schwefel,Wasserstoff,17.0
Schweifaffe,Schweif,Affe,
Schweifgiebel,Schweif,Giebel,
Schweifstern,Schweif,Stern,
Schweigegebot,schweigen,Gebot,
Schweigegeld,schweigen,Geld,
Schweigegelübde,schweigen,Gelübde,
Schweigemarsch,schweigen,Marsch,
Schweigeminute,schweigen,Minute,16.0
Schweigepflicht,schweigen,Pflicht,12.0
Schweigerecht,schweigen,Recht,19.0
Schweigespirale,schweigen,Spirale,
Schweinebacke,Schwein,Backe,
Schweinebandwurm,Schwein,Bandwurm,
Schweinebauch,Schwein,Bauch,19.0
Schweineblut,Schwein,Blut,
Schweineborste,Schwein,Borste,
Schweinebraten,Schwein,Braten,18.0
Schweinedarm,Schwein,Darm,
Schweinefarm,Schwein,Farm,
Schweinefett,Schwein,Fett,
Schweinefilet,Schwein,Filet,
Schweinefleisch,Schwein,Fleisch,15.0
Schweinefutter,Schwein,Futter,
Schweinegeld,Schwein,Geld,
Schweinegeschnetzeltes,Schwein,Geschnetzeltes,
Schweinegrippe,Schwein,Grippe,16.0
Schweinehalter,Schwein,Halter,16.0
Schweinehaltung,Schwein,Haltung,16.0
Schweinehaut,Schwein,Haut,
Schweinehirt,Schwein,Hirt,19.0
Schweinehirte,Schwein,Hirte,
Schweinehund,Schwein,Hund,15.0
Schweinehälfte,Schwein,Hälfte,
Schweinekopf,Schwein,Kopf,
Schweinekotelett,Schwein,Kotelett,18.0
Schweinelaus,Schwein,Laus,
Schweineleber,Schwein,Leber,
Schweinelende,Schwein,Lende,
Schweinemarkt,Schwein,Markt,19.0
Schweinemast,Schwein,Mast,17.0
Schweinemastbetrieb,Schweinemast,Betrieb,
Schweinenacken,Schwein,Nacken,19.0
Schweineohr,Schwein,Ohr,
Schweinepest,Schwein,Pest,13.0
Schweinepreis,Schwein,Preis,
Schweinerasse,Schwein,Rasse,
Schweinerippchen,Schwein,Rippchen,19.0
Schweinerücken,Schwein,Rücken,
Schweineschmalz,Schwein,Schmalz,19.0
Schweineschnitzel,Schwein,Schnitzel,
Schweineschulter,Schwein,Schulter,
Schweinespeck,Schwein,Speck,
Schweinestall,Schwein,Stall,18.0
Schweinesystem,Schwein,System,
Schweinetrog,Schwein,Trog,
Schweinezucht,Schwein,Zucht,
Schweinezyklus,Schwein,Zyklus,
Schweinezüchter,Schwein,Züchter,
Schweinkram,Schwein,Kram,
Schweinsaffe,Schwein,Affe,
Schweinsblase,Schwein,Blase,
Schweinshachse,Schwein,Hachse,
Schweinsleder,Schwein,Leder,
Schweinswal,Schwein,Wal,17.0
Schweizerdeutsch,Schweizer,Deutsch,18.0
Schweizergarde,Schweizer,Garde,
Schweizergardist,Schweizer,Gardist,
Schweizerhaus,Schweizer,Haus,
Schweißabsonderung,Schweiß,Absonderung,
Schweißanlage,schweißen,Anlage,
Schweißarbeit,schweißen,Arbeit,
Schweißausbruch,Schweiß,Ausbruch,17.0
Schweißband,Schweiß,Band,
Schweißbildung,Schweiß,Bildung,16.0
Schweißbrenner,schweißen,Brenner,
Schweißbrille,Schweiß,Brille,
Schweißdrüse,Schweiß,Drüse,
Schweißerprüfung,Schweißer,Prüfung,
Schweißfachkraft,schweißen,Fachkraft,
Schweißfilm,Schweiß,Film,
Schweißfleck,Schweiß,Fleck,
Schweißfuge,schweißen,Fuge,
Schweißfuß,Schweiß,Fuß,
Schweißfährte,Schweiß,Fährte,
Schweißgeruch,Schweiß,Geruch,17.0
Schweißgerät,schweißen,Gerät,18.0
Schweißhund,Schweiß,Hund,
Schweißmaschine,Schweiß,Maschine,
Schweißnaht,schweißen,Naht,19.0
Schweißperle,Schweiß,Perle,19.0
Schweißproduktion,Schweiß,Produktion,17.0
Schweißpunkt,schweißen,Punkt,
Schweißroboter,schweißen,Roboter,
Schweißstelle,schweißen,Stelle,
Schweißtechnik,schweißen,Technik,17.0
Schweißtropfen,Schweiß,Tropfen,
Schweißtuch,Schweiß,Tuch,19.0
Schweißverbindung,schweißen,Verbindung,
Schweißverfahren,schweißen,Verfahren,19.0
Schwelbrand,schwelen,Brand,17.0
Schwellenangst,Schwelle,Angst,17.0
Schwellenland,Schwelle,Land,17.0
Schwellenschraube,Schwelle,Schraube,
Schwellenwert,Schwelle,Wert,14.0
Schwellkörper,schwellen,Körper,19.0
Schwemmebene,schwemmen,Ebene,
Schwemmgut,schwemmen,Gut,17.0
Schwemmholz,schwemmen,Holz,
Schwemmkegel,schwemmen,Kegel,
Schwemmland,schwemmen,Land,17.0
Schwemmsand,schwemmen,Sand,
Schwengelpumpe,Schwengel,Pumpe,
Schwenkarm,schwenken,Arm,
Schwenkbereich,Schwenk,Bereich,19.0
Schwenkbewegung,Schwenk,Bewegung,
Schwenkflügel,Schwenk,Flügel,
Schwenkkiel,Schwenk,Kiel,
Schwerarbeit,schwer,Arbeit,
Schwerarbeiter,schwer,Arbeiter,
Schwerathlet,schwer,Athlet,
Schwerathletik,schwer,Athletik,
Schwerbehinderte,schwer,Behinderte,13.0
Schwerbehindertenausweis,Schwerbehinderte,Ausweis,14.0
Schwerbehindertengesetz,Schwerbehinderte,Gesetz,17.0
